chr1	0.5976	0.6147	-0.1931	pc1
chr1	0.3664	0.3603	0.7577	pc2
chr2	0.8209	0.4183	0.0833	pc1
chr2	0.2556	0.062	0.7687	pc2
chr3	0.8897	0.5798	-0.0514	pc1
chr3	0.17	0.1457	0.7769	pc2
chr4	0.8662	0.6896	0.4523	pc1
chr4	0.1123	0.0371	0.5382	pc2
chr5	0.742	0.6834	0.4577	pc1
chr5	0.0441	-0.1038	0.5292	pc2
chr6	0.8985	0.5354	0.1909	pc1
chr6	0.1284	0.0458	0.755	pc2
chr7	0.719	0.4582	0.2648	pc1
chr7	0.0492	-0.3306	0.7678	pc2
chr8	0.5841	0.6485	0.2249	pc1
chr8	0.0768	-0.1262	0.6993	pc2
chr9	0.8314	0.4494	0.3055	pc1
chr9	0.0363	0.3092	-0.2676	pc2
chr10	0.7933	0.4669	-0.2112	pc1
chr10	0.2414	0.2505	0.7894	pc2
chr11	0.8213	0.7003	0.4493	pc1
chr11	0.0209	0.009	-0.2077	pc2
chr12	0.7869	0.5916	0.0875	pc1
chr12	0.0858	-0.0069	0.5251	pc2
chr13	0.6303	0.4703	-0.2529	pc1
chr13	0.0102	-0.0483	-0.4926	pc2
chr14	0.8835	0.636	-0.3451	pc1
chr14	0.0274	0.0302	-0.2974	pc2
chr15	0.8575	0.7532	0.444	pc1
chr15	0.166	-0.127	0.3246	pc2
chr16	0.8727	0.6301	-0.4812	pc1
chr16	0.0259	-0.1291	0.5009	pc2
chr17	0.5286	0.5655	-0.4148	pc1
chr17	0.3051	0.2388	-0.289	pc2
chr18	0.849	0.5435	-0.0561	pc1
chr18	0.1902	0.2061	0.7436	pc2
chr19	0.8193	0.5549	-0.0064	pc1
chr19	0.0381	-0.3109	0.0843	pc2
chrX	0.4709	0.5045	-0.6738	pc1
chrX	0.4245	0.1504	0.1334	pc2
